Year,Platinum_USD_per_Oz
2000,544.0
2001,530.0
2002,540.0
2003,691.0
2004,845.0
2005,897.0
2006,1142.0
2007,1307.0
2008,1580.0
2009,1204.0
2010,1610.0
2011,1719.0
2012,1552.0
2013,1487.0
2014,1385.0
2015,1053.0
2016,1001.0
2017,948.0
2018,878.0
2019,862.0
2020,883.0
2021,1091.0
2022,960.0
2023,966.0
2024,940.0
2025,1120.0
