observation_date,FPCPITOTLZGZAF
1960-01-01,1.288876926879920
1961-01-01,2.102350599559780
1962-01-01,1.246275199654950
1963-01-01,1.337970644906930
1964-01-01,2.534988542348980
1965-01-01,4.069018532945840
1966-01-01,3.489237153851750
1967-01-01,3.538965802362330
1968-01-01,1.986133621032220
1969-01-01,3.238217215856670
1970-01-01,4.991924554356170
1971-01-01,5.957420852134860
1972-01-01,6.425676388791750
1973-01-01,9.433983769783939
1974-01-01,11.724131519061100
1975-01-01,13.425924853037600
1976-01-01,11.020410589245200
1977-01-01,11.151957831930000
1978-01-01,11.135608882956500
1979-01-01,13.293662462805900
1980-01-01,13.660240468111500
1981-01-01,15.254233767419400
1982-01-01,14.639040585312801
1983-01-01,12.303205300600601
1984-01-01,11.526481434496000
1985-01-01,16.294225242642099
1986-01-01,18.654923038875499
1987-01-01,16.160594854679101
1988-01-01,12.779553083028000
1989-01-01,14.730875398238100
1990-01-01,14.320991891491500
1991-01-01,15.334778573367201
1992-01-01,13.874703748615000
1993-01-01,9.717427298030280
1994-01-01,8.938563723593999
1995-01-01,8.680424213926310
1996-01-01,7.354119720853330
1997-01-01,8.597776112522739
1998-01-01,6.880545210373510
1999-01-01,5.181489051116970
2000-01-01,5.338959135998280
2001-01-01,5.701894830496080
2002-01-01,9.494713780995999
2003-01-01,5.679424140687990
2004-01-01,-0.692039437857687
2005-01-01,2.062853082234270
2006-01-01,3.243907654192300
2007-01-01,6.177812148093880
2008-01-01,9.909984560054671
2009-01-01,7.238095238095270
2010-01-01,4.067495559502630
2011-01-01,5.000853387950200
2012-01-01,5.737971391417390
2013-01-01,5.780169100691760
2014-01-01,6.132829530591490
2015-01-01,4.518690948925060
2016-01-01,6.602908423948720
2017-01-01,5.186186555241490
2018-01-01,4.509872648673880
2019-01-01,4.102850754611560
2020-01-01,3.232388316151130
2021-01-01,4.618745448871360
2022-01-01,7.039872725464820
2023-01-01,6.075243845796600
2024-01-01,4.361152465189620
