Year,Coal_SA_USD_per_Tonne
2000,28.13
2001,36.28
2002,31.25
2003,32.8
2004,52.0
2005,55.7
2006,60.0
2007,72.0
2008,125.0
2009,72.0
2010,96.0
2011,112.0
2012,95.0
2013,85.0
2014,75.0
2015,65.0
2016,70.0
2017,82.0
2018,95.0
2019,78.0
2020,60.0
2021,120.0
2022,250.0
2023,130.0
2024,110.0
2025,105.0
