Year,Number of generation facilities registered,Capacity (MW),Investment cost (R'm)
2018,52,26,525
2019,41,23,464
2020,124,53,681
2021,282,134,1887
2022,406,1646,25000
2023,405,4490,84962
2024,476,4164,89539
2025,597,7164,158029
2026,112,1327,28220
Total,2495,19327,389307
