Year,Ferrochrome_USD_per_lb
2000,0.35
2001,0.33
2002,0.3
2003,0.38
2004,0.55
2005,0.6
2006,0.65
2007,0.8
2008,1.35
2009,0.85
2010,1.25
2011,1.15
2012,1.0
2013,0.9
2014,0.85
2015,0.7
2016,0.75
2017,0.9
2018,1.05
2019,0.82
2020,0.75
2021,0.95
2022,1.1
2023,0.92
2024,0.88
2025,0.9
