Year,Increase%
1996/97,4.0
1997/98,7.5
1998/99,7.5
1999/00,6.8
2000/01,7.8
2001/02,8.8
2002/03,9.7
2003/04,6.5
2004/05,4.1
2005/06,4.1
2006/07,5.1
2007/08,14.1
2008/09,27.5
2009/10,31.3
2010/11,24.8
2011/12,24.8
2012/13,16.0
2013/14,8.0
2014/15,5.85
2015/16,9.69
2016/17,9.4
2017/18,2.2
2018/19,5.23
2019/20,9.41
2020/21,8.76
2021/22,15.06
2022/23,9.61
2023/24,18.65
2024/25,12.74
2025/26,12.74
