Year,Manganese_USD_per_DMTU
2000,2.0
2001,2.1
2002,1.8
2003,2.5
2004,3.8
2005,4.5
2006,5.2
2007,9.5
2008,14.0
2009,7.0
2010,8.5
2011,9.0
2012,7.5
2013,6.0
2014,5.5
2015,4.5
2016,4.8
2017,6.5
2018,7.8
2019,6.2
2020,4.8
2021,5.8
2022,6.8
2023,5.6
2024,5.2
2025,5.5
