Year,Rhodium_USD_per_Oz
2000,1650
2001,1450
2002,800
2003,580
2004,800
2005,1950
2006,3750
2007,6220
2008,6600
2009,2100
2010,2450
2011,2050
2012,1200
2013,1080
2014,1180
2015,780
2016,690
2017,1700
2018,2300
2019,5100
2020,8200
2021,15820
2022,14350
2023,9700
2024,5150
2025,4850
