Year,Diamond_Price_Index
2000,100
2001,98
2002,97
2003,102
2004,108
2005,115
2006,122
2007,130
2008,135
2009,115
2010,125
2011,140
2012,138
2013,135
2014,132
2015,128
2016,125
2017,130
2018,135
2019,128
2020,115
2021,120
2022,125
2023,118
2024,110
2025,108
