Year,IronOre_USD_per_DMTU
2000,27.5
2001,28.0
2002,28.5
2003,31.0
2004,38.0
2005,64.0
2006,72.0
2007,81.0
2008,147.0
2009,80.0
2010,146.0
2011,167.0
2012,128.0
2013,135.0
2014,96.0
2015,55.0
2016,56.0
2017,72.0
2018,69.0
2019,93.0
2020,109.0
2021,160.0
2022,122.0
2023,117.0
2024,108.0
2025,105.0
